label,outcome,n_has_any_attention=True,n_has_any_attention=False,rate_has_any_attention=True,rate_has_any_attention=False,odds_ratio,p_value,analysis,variable,coefficient,ci_lower,ci_upper,n,question_bin,n_positive,rate,n_repos,n_lower_with_attention,n_higher_with_attention,sign_test_p,source,subset,or,p,classification
,escaped,,,,,1.0701,0.021,logistic_regression,review_unique_reviewers,0.0678,1.0103,1.1335,79355.0,,,,,,,,,,,,
,strict_escaped,,,,,0.0001,0.9645,logistic_regression,has_questions,-9.3816,0.0,2.572895632373722e+175,79355.0,,,,,,,,,,,,
,strict_escaped,,,,,0.6872,0.5685,logistic_regression,review_genuine_questions,-0.3752,0.1892,2.4952,79355.0,,,,,,,,,,,,
,strict_escaped,,,,,1.1216,0.067,logistic_regression,log_additions,0.1148,0.992,1.2682,79355.0,,,,,,,,,,,,
,strict_escaped,,,,,1.0282,0.6293,logistic_regression,log_deletions,0.0278,0.9183,1.1513,79355.0,,,,,,,,,,,,
,strict_escaped,,,,,1.3115,0.0312,logistic_regression,log_files_count,0.2711,1.0248,1.6783,79355.0,,,,,,,,,,,,
,strict_escaped,,,,,0.9997,0.3185,logistic_regression,review_total_length,-0.0003,0.999,1.0003,79355.0,,,,,,,,,,,,
,strict_escaped,,,,,0.963,0.6151,logistic_regression,review_unique_reviewers,-0.0377,0.8314,1.1154,79355.0,,,,,,,,,,,,
,reworked,,,,,,,dose_response,,,,,77336.0,0,3546.0,0.0459,,,,,,,,,
,reworked,,,,,,,dose_response,,,,,1748.0,1,98.0,0.0561,,,,,,,,,
,reworked,,,,,,,dose_response,,,,,251.0,2-3,13.0,0.0518,,,,,,,,,
,reworked,,,,,,,dose_response,,,,,20.0,4+,0.0,0.0,,,,,,,,,
,escaped,,,,,,,dose_response,,,,,77336.0,0,549.0,0.0071,,,,,,,,,
,escaped,,,,,,,dose_response,,,,,1748.0,1,16.0,0.0092,,,,,,,,,
,escaped,,,,,,,dose_response,,,,,251.0,2-3,1.0,0.004,,,,,,,,,
,escaped,,,,,,,dose_response,,,,,20.0,4+,0.0,0.0,,,,,,,,,
,strict_escaped,,,,,,,dose_response,,,,,77336.0,0,120.0,0.0016,,,,,,,,,
,strict_escaped,,,,,,,dose_response,,,,,1748.0,1,2.0,0.0011,,,,,,,,,
,strict_escaped,,,,,,,dose_response,,,,,251.0,2-3,0.0,0.0,,,,,,,,,
,strict_escaped,,,,,,,dose_response,,,,,20.0,4+,0.0,0.0,,,,,,,,,
,reworked,,,,,,,within_repo,,,,,,,,,65.0,6.0,59.0,0.0,,,,,
,escaped,,,,,,,within_repo,,,,,,,,,65.0,24.0,41.0,0.0464,,,,,
,strict_escaped,,,,,,,within_repo,,,,,,,,,65.0,13.0,52.0,0.0,,,,,
,reworked,,,,,,,question_source,,,,,77336.0,,3546.0,0.0459,,,,,none,,,,
,reworked,,,,,,,question_source,,,,,172.0,,21.0,0.1221,,,,,desc_only,,,,
,reworked,,,,,,,question_source,,,,,1845.0,,89.0,0.0482,,,,,review_only,,,,
,reworked,,,,,,,question_source,,,,,2.0,,1.0,0.5,,,,,both,,,,
,escaped,,,,,,,question_source,,,,,77336.0,,549.0,0.0071,,,,,none,,,,
,escaped,,,,,,,question_source,,,,,172.0,,1.0,0.0058,,,,,desc_only,,,,
,escaped,,,,,,,question_source,,,,,1845.0,,16.0,0.0087,,,,,review_only,,,,
,escaped,,,,,,,question_source,,,,,2.0,,0.0,0.0,,,,,both,,,,
,strict_escaped,,,,,,,question_source,,,,,77336.0,,120.0,0.0016,,,,,none,,,,
,strict_escaped,,,,,,,question_source,,,,,172.0,,0.0,0.0,,,,,desc_only,,,,
,strict_escaped,,,,,,,question_source,,,,,1845.0,,2.0,0.0011,,,,,review_only,,,,
,strict_escaped,,,,,,,question_source,,,,,2.0,,0.0,0.0,,,,,both,,,,
,reworked,,,,,,,robustness_trivial,,,,,79355.0,,,,,,,,,non_trivial,0.9703,0.6495,
,reworked,,,,,,,robustness_trivial,,,,,79355.0,,,,,,,,,full,0.9703,0.6495,
,escaped,,,,,,,robustness_trivial,,,,,79355.0,,,,,,,,,non_trivial,1.7993,0.0,
,escaped,,,,,,,robustness_trivial,,,,,79355.0,,,,,,,,,full,1.7993,0.0,
,strict_escaped,,,,,,,robustness_trivial,,,,,79355.0,,,,,,,,,non_trivial,0.9568,1.0,
,strict_escaped,,,,,,,robustness_trivial,,,,,79355.0,,,,,,,,,full,0.9568,1.0,
,reworked,,,,,,,robustness_classification,,,,,71089.0,,,,,,,,,,0.9281,0.3527,human
,escaped,,,,,,,robustness_classification,,,,,71089.0,,,,,,,,,,1.7963,0.0,human
,strict_escaped,,,,,,,robustness_classification,,,,,71089.0,,,,,,,,,,0.5687,0.4161,human
,reworked,,,,,,,robustness_classification,,,,,8266.0,,,,,,,,,,1.4525,0.0011,ai/augmented
,escaped,,,,,,,robustness_classification,,,,,8266.0,,,,,,,,,,1.8768,0.1153,ai/augmented
,strict_escaped,,,,,,,robustness_classification,,,,,8266.0,,,,,,,,,,2.2691,0.0648,ai/augmented
